t,stage_name,stage
-0.02099999999999902,IDLE,1
0.028999999999999915,IDLE,1
0.07900000000000063,IDLE,1
0.12899999999999956,IDLE,1
0.17900000000000027,IDLE,1
0.22900000000000098,IDLE,1
0.2789999999999999,IDLE,1
0.3290000000000006,IDLE,1
0.37899999999999956,IDLE,1
0.42900000000000027,IDLE,1
0.479000000000001,IDLE,1
0.5289999999999999,IDLE,1
0.5790000000000006,IDLE,1
0.6289999999999996,IDLE,1
0.6790000000000003,IDLE,1
0.729000000000001,IDLE,1
0.7789999999999999,IDLE,1
0.8290000000000006,IDLE,1
0.8789999999999996,IDLE,1
0.9290000000000003,IDLE,1
0.979000000000001,IDLE,1
1.029,IDLE,1
1.0790000000000006,IDLE,1
1.1289999999999996,IDLE,1
1.1790000000000003,IDLE,1
1.229000000000001,IDLE,1
1.279,IDLE,1
1.3290000000000006,IDLE,1
1.3789999999999996,IDLE,1
1.4290000000000003,IDLE,1
1.479000000000001,IDLE,1
1.529,IDLE,1
1.58,IDLE,1
1.6289999999999996,IDLE,1
1.6790000000000003,IDLE,1
1.729000000000001,IDLE,1
1.779,IDLE,1
1.8290000000000006,IDLE,1
1.8789999999999996,IDLE,1
1.9290000000000003,IDLE,1
1.979000000000001,IDLE,1
2.029,IDLE,1
2.0790000000000006,IDLE,1
2.1289999999999996,IDLE,1
2.1790000000000003,IDLE,1
2.229000000000001,IDLE,1
2.279,IDLE,1
2.3290000000000006,IDLE,1
2.3789999999999996,IDLE,1
2.4290000000000003,IDLE,1
2.479000000000001,IDLE,1
2.529,IDLE,1
2.5790000000000006,IDLE,1
2.6289999999999996,IDLE,1
2.6790000000000003,IDLE,1
2.729000000000001,IDLE,1
2.7790000000000017,IDLE,1
2.828999999999999,IDLE,1
2.8789999999999996,IDLE,1
2.9290000000000003,IDLE,1
2.979000000000001,IDLE,1
3.0290000000000017,IDLE,1
3.078999999999999,IDLE,1
3.1289999999999996,IDLE,1
3.1790000000000003,IDLE,1
3.229000000000001,IDLE,1
3.2790000000000017,IDLE,1
3.328999999999999,IDLE,1
3.3789999999999996,IDLE,1
3.4290000000000003,IDLE,1
3.479000000000001,IDLE,1
3.5290000000000017,IDLE,1
3.578999999999999,IDLE,1
3.6289999999999996,IDLE,1
3.6790000000000003,IDLE,1
3.729000000000001,IDLE,1
3.7790000000000017,IDLE,1
3.828999999999999,IDLE,1
3.8789999999999996,IDLE,1
3.9290000000000003,IDLE,1
3.979000000000001,IDLE,1
4.029000000000002,IDLE,1
4.078999999999999,IDLE,1
4.129,IDLE,1
4.179,IDLE,1
4.229000000000001,IDLE,1
4.279999999999999,IDLE,1
4.33,IDLE,1
4.379,IDLE,1
4.429,IDLE,1
4.479000000000001,IDLE,1
4.529000000000002,IDLE,1
4.578999999999999,IDLE,1
4.629,IDLE,1
4.679,IDLE,1
4.729000000000001,IDLE,1
4.779000000000002,IDLE,1
4.828999999999999,IDLE,1
4.879,IDLE,1
4.929,IDLE,1
4.979000000000001,IDLE,1
5.029000000000002,IDLE,1
5.078999999999999,IDLE,1
5.129,IDLE,1
5.179,IDLE,1
5.229000000000001,IDLE,1
5.279000000000002,IDLE,1
5.328999999999999,IDLE,1
5.379,IDLE,1
5.429,IDLE,1
5.479000000000001,IDLE,1
5.529000000000002,IDLE,1
5.578999999999999,IDLE,1
5.629,IDLE,1
5.679,IDLE,1
5.729000000000001,IDLE,1
5.779000000000002,IDLE,1
5.828999999999999,IDLE,1
5.879,IDLE,1
5.929,IDLE,1
5.979000000000001,IDLE,1
6.029000000000002,IDLE,1
6.078999999999999,IDLE,1
6.129,IDLE,1
6.179,IDLE,1
6.229000000000001,IDLE,1
6.279000000000002,IDLE,1
6.328999999999999,IDLE,1
6.379,IDLE,1
6.429,IDLE,1
6.479000000000001,IDLE,1
6.529000000000002,IDLE,1
6.578999999999999,IDLE,1
6.629,IDLE,1
6.679,IDLE,1
6.729000000000001,IDLE,1
6.779000000000002,IDLE,1
6.828999999999999,IDLE,1
6.879,IDLE,1
6.929,IDLE,1
6.979000000000001,IDLE,1
7.029000000000002,IDLE,1
7.078999999999999,IDLE,1
7.129,IDLE,1
7.179,IDLE,1
7.229000000000001,IDLE,1
7.279000000000002,IDLE,1
7.328999999999999,IDLE,1
7.379,IDLE,1
7.429,IDLE,1
7.479000000000001,IDLE,1
7.529000000000002,IDLE,1
7.578999999999999,IDLE,1
7.629,IDLE,1
7.679,IDLE,1
7.729000000000001,IDLE,1
7.779000000000002,IDLE,1
7.828999999999999,IDLE,1
7.879,IDLE,1
7.929,SAVE_START_POINT,1
7.979999999999999,DIVE_TO_DEPTH,1
8.029000000000002,DIVE_TO_DEPTH,1
8.078999999999999,DIVE_TO_DEPTH,1
8.129,DIVE_TO_DEPTH,1
8.179,DIVE_TO_DEPTH,1
8.229000000000001,DIVE_TO_DEPTH,1
8.279000000000002,DIVE_TO_DEPTH,1
8.328999999999999,DIVE_TO_DEPTH,1
8.379,DIVE_TO_DEPTH,1
8.429,DIVE_TO_DEPTH,1
8.479000000000001,DIVE_TO_DEPTH,1
8.529000000000002,DIVE_TO_DEPTH,1
8.578999999999999,DIVE_TO_DEPTH,1
8.629,DIVE_TO_DEPTH,1
8.679,DIVE_TO_DEPTH,1
8.729000000000001,DIVE_TO_DEPTH,1
8.779000000000002,DIVE_TO_DEPTH,1
8.828999999999999,DIVE_TO_DEPTH,1
8.879,DIVE_TO_DEPTH,1
8.929,DIVE_TO_DEPTH,1
8.979000000000001,DIVE_TO_DEPTH,1
9.029000000000002,DIVE_TO_DEPTH,1
9.078999999999999,DIVE_TO_DEPTH,1
9.129,DIVE_TO_DEPTH,1
9.179,DIVE_TO_DEPTH,1
9.229000000000001,DIVE_TO_DEPTH,1
9.279000000000002,DIVE_TO_DEPTH,1
9.33,DIVE_TO_DEPTH,1
9.379,DIVE_TO_DEPTH,1
9.429,DIVE_TO_DEPTH,1
9.479000000000001,DIVE_TO_DEPTH,1
9.529000000000002,DIVE_TO_DEPTH,1
9.578999999999999,DIVE_TO_DEPTH,1
9.629,DIVE_TO_DEPTH,1
9.679,DIVE_TO_DEPTH,1
9.729000000000001,DIVE_TO_DEPTH,1
9.779000000000002,DIVE_TO_DEPTH,1
9.828999999999999,DIVE_TO_DEPTH,1
9.879,DIVE_TO_DEPTH,1
9.929,DIVE_TO_DEPTH,1
9.979000000000001,DIVE_TO_DEPTH,1
10.029000000000002,DIVE_TO_DEPTH,1
10.078999999999999,DIVE_TO_DEPTH,1
10.129,DIVE_TO_DEPTH,1
10.179,DIVE_TO_DEPTH,1
10.229000000000001,DIVE_TO_DEPTH,1
10.279000000000002,DIVE_TO_DEPTH,1
10.328999999999999,DIVE_TO_DEPTH,1
10.379,DIVE_TO_DEPTH,1
10.429,DIVE_TO_DEPTH,1
10.479000000000001,DIVE_TO_DEPTH,1
10.529000000000002,DIVE_TO_DEPTH,1
10.578999999999999,DIVE_TO_DEPTH,1
10.629,DIVE_TO_DEPTH,1
10.679,DIVE_TO_DEPTH,1
10.729000000000001,DIVE_TO_DEPTH,1
10.779000000000002,DIVE_TO_DEPTH,1
10.828999999999999,DIVE_TO_DEPTH,1
10.879,DIVE_TO_DEPTH,1
10.929,DIVE_TO_DEPTH,1
10.979000000000001,DIVE_TO_DEPTH,1
11.029000000000002,DIVE_TO_DEPTH,1
11.078999999999999,DIVE_TO_DEPTH,1
11.129,DIVE_TO_DEPTH,1
11.179,DIVE_TO_DEPTH,1
11.229000000000001,DIVE_TO_DEPTH,1
11.279000000000002,DIVE_TO_DEPTH,1
11.328999999999999,DIVE_TO_DEPTH,1
11.379,DIVE_TO_DEPTH,1
11.429,DIVE_TO_DEPTH,1
11.479000000000001,DIVE_TO_DEPTH,1
11.529000000000002,DIVE_TO_DEPTH,1
11.578999999999999,DIVE_TO_DEPTH,1
11.629,DIVE_TO_DEPTH,1
11.679,DIVE_TO_DEPTH,1
11.729000000000001,DIVE_TO_DEPTH,1
11.779000000000002,DIVE_TO_DEPTH,1
11.828999999999999,DIVE_TO_DEPTH,1
11.879,DIVE_TO_DEPTH,1
11.929,DIVE_TO_DEPTH,1
11.979000000000001,DIVE_TO_DEPTH,1
12.029000000000002,DIVE_TO_DEPTH,1
12.078999999999999,DIVE_TO_DEPTH,1
12.129,DIVE_TO_DEPTH,1
12.179,DIVE_TO_DEPTH,1
12.229000000000001,DIVE_TO_DEPTH,1
12.279000000000002,DIVE_TO_DEPTH,1
12.328999999999999,DIVE_TO_DEPTH,1
12.379,DIVE_TO_DEPTH,1
12.429,DIVE_TO_DEPTH,1
12.479000000000001,DIVE_TO_DEPTH,1
12.529000000000002,DIVE_TO_DEPTH,1
12.578999999999999,DIVE_TO_DEPTH,1
12.629,DIVE_TO_DEPTH,1
12.679,PRE_CRUISE_10M,1
12.729000000000001,START_TIMED_RUN,1
12.779000000000002,OUTBOUND_CRUISE_50M,1
12.828999999999999,OUTBOUND_CRUISE_50M,1
12.879,OUTBOUND_CRUISE_50M,1
12.929,OUTBOUND_CRUISE_50M,1
12.979000000000001,OUTBOUND_CRUISE_50M,1
13.029000000000002,OUTBOUND_CRUISE_50M,1
13.078999999999999,OUTBOUND_CRUISE_50M,1
13.129,OUTBOUND_CRUISE_50M,1
13.179,OUTBOUND_CRUISE_50M,1
13.229000000000001,OUTBOUND_CRUISE_50M,1
13.279000000000002,OUTBOUND_CRUISE_50M,1
13.328999999999999,OUTBOUND_CRUISE_50M,1
13.379,OUTBOUND_CRUISE_50M,1
13.429,OUTBOUND_CRUISE_50M,1
13.479000000000001,OUTBOUND_CRUISE_50M,1
13.529000000000002,OUTBOUND_CRUISE_50M,1
13.578999999999999,OUTBOUND_CRUISE_50M,1
13.629,OUTBOUND_CRUISE_50M,1
13.679,OUTBOUND_CRUISE_50M,1
13.729000000000001,OUTBOUND_CRUISE_50M,1
13.779000000000002,OUTBOUND_CRUISE_50M,1
13.828999999999999,OUTBOUND_CRUISE_50M,1
13.879,OUTBOUND_CRUISE_50M,1
13.929,OUTBOUND_CRUISE_50M,1
13.979000000000001,OUTBOUND_CRUISE_50M,1
14.029000000000002,OUTBOUND_CRUISE_50M,1
14.078999999999999,OUTBOUND_CRUISE_50M,1
14.129,OUTBOUND_CRUISE_50M,1
14.179,OUTBOUND_CRUISE_50M,1
14.229000000000001,OUTBOUND_CRUISE_50M,1
14.279000000000002,OUTBOUND_CRUISE_50M,1
14.328999999999999,OUTBOUND_CRUISE_50M,1
14.379,OUTBOUND_CRUISE_50M,1
14.429,OUTBOUND_CRUISE_50M,1
14.479000000000001,OUTBOUND_CRUISE_50M,1
14.529000000000002,OUTBOUND_CRUISE_50M,1
14.578999999999999,OUTBOUND_CRUISE_50M,1
14.629,OUTBOUND_CRUISE_50M,1
14.679,OUTBOUND_CRUISE_50M,1
14.729000000000001,OUTBOUND_CRUISE_50M,1
14.779000000000002,OUTBOUND_CRUISE_50M,1
14.828999999999999,OUTBOUND_CRUISE_50M,1
14.879,OUTBOUND_CRUISE_50M,1
14.929,OUTBOUND_CRUISE_50M,1
14.979000000000001,OUTBOUND_CRUISE_50M,1
15.029000000000002,OUTBOUND_CRUISE_50M,1
15.078999999999999,OUTBOUND_CRUISE_50M,1
15.129,OUTBOUND_CRUISE_50M,1
15.179,OUTBOUND_CRUISE_50M,1
15.229000000000001,OUTBOUND_CRUISE_50M,1
15.279000000000002,OUTBOUND_CRUISE_50M,1
15.328999999999999,OUTBOUND_CRUISE_50M,1
15.379,OUTBOUND_CRUISE_50M,1
15.429,OUTBOUND_CRUISE_50M,1
15.479000000000001,OUTBOUND_CRUISE_50M,1
15.529000000000002,OUTBOUND_CRUISE_50M,1
15.578999999999999,OUTBOUND_CRUISE_50M,1
15.629,OUTBOUND_CRUISE_50M,1
15.679,OUTBOUND_CRUISE_50M,1
15.729000000000001,OUTBOUND_CRUISE_50M,1
15.779000000000002,OUTBOUND_CRUISE_50M,1
15.828999999999999,OUTBOUND_CRUISE_50M,1
15.879,OUTBOUND_CRUISE_50M,1
15.929,OUTBOUND_CRUISE_50M,1
15.979000000000001,OUTBOUND_CRUISE_50M,1
16.029000000000003,OUTBOUND_CRUISE_50M,1
16.079,OUTBOUND_CRUISE_50M,1
16.128999999999998,OUTBOUND_CRUISE_50M,1
16.179000000000002,OUTBOUND_CRUISE_50M,1
16.229,OUTBOUND_CRUISE_50M,1
16.279000000000003,OUTBOUND_CRUISE_50M,1
16.329,OUTBOUND_CRUISE_50M,1
16.378999999999998,OUTBOUND_CRUISE_50M,1
16.429000000000002,OUTBOUND_CRUISE_50M,1
16.479,OUTBOUND_CRUISE_50M,1
16.529000000000003,OUTBOUND_CRUISE_50M,1
16.579,OUTBOUND_CRUISE_50M,1
16.628999999999998,OUTBOUND_CRUISE_50M,1
16.679000000000002,OUTBOUND_CRUISE_50M,1
16.729,OUTBOUND_CRUISE_50M,1
16.779000000000003,OUTBOUND_CRUISE_50M,1
16.829,OUTBOUND_CRUISE_50M,1
16.878999999999998,OUTBOUND_CRUISE_50M,1
16.929000000000002,OUTBOUND_CRUISE_50M,1
16.979,OUTBOUND_CRUISE_50M,1
17.029000000000003,OUTBOUND_CRUISE_50M,1
17.079,OUTBOUND_CRUISE_50M,1
17.128999999999998,OUTBOUND_CRUISE_50M,1
17.179000000000002,OUTBOUND_CRUISE_50M,1
17.229,OUTBOUND_CRUISE_50M,1
17.279000000000003,OUTBOUND_CRUISE_50M,1
17.329,OUTBOUND_CRUISE_50M,1
17.378999999999998,OUTBOUND_CRUISE_50M,1
17.429000000000002,OUTBOUND_CRUISE_50M,1
17.479,OUTBOUND_CRUISE_50M,1
17.529000000000003,OUTBOUND_CRUISE_50M,1
17.579,OUTBOUND_CRUISE_50M,1
17.628999999999998,OUTBOUND_CRUISE_50M,1
17.68,OUTBOUND_CRUISE_50M,1
17.729,OUTBOUND_CRUISE_50M,1
17.779000000000003,OUTBOUND_CRUISE_50M,1
17.829,OUTBOUND_CRUISE_50M,1
17.878999999999998,OUTBOUND_CRUISE_50M,1
17.929000000000002,OUTBOUND_CRUISE_50M,1
17.979,OUTBOUND_CRUISE_50M,1
18.029000000000003,OUTBOUND_CRUISE_50M,1
18.079,OUTBOUND_CRUISE_50M,1
18.128999999999998,OUTBOUND_CRUISE_50M,1
18.179000000000002,OUTBOUND_CRUISE_50M,1
18.229,OUTBOUND_CRUISE_50M,1
18.279000000000003,OUTBOUND_CRUISE_50M,1
18.329,OUTBOUND_CRUISE_50M,1
18.378999999999998,OUTBOUND_CRUISE_50M,1
18.429000000000002,OUTBOUND_CRUISE_50M,1
18.479,OUTBOUND_CRUISE_50M,1
18.529000000000003,OUTBOUND_CRUISE_50M,1
18.579,OUTBOUND_CRUISE_50M,1
18.628999999999998,OUTBOUND_CRUISE_50M,1
18.679000000000002,OUTBOUND_CRUISE_50M,1
18.729,OUTBOUND_CRUISE_50M,1
18.779000000000003,OUTBOUND_CRUISE_50M,1
18.829,OUTBOUND_CRUISE_50M,1
18.879000000000005,OUTBOUND_CRUISE_50M,1
18.929000000000002,OUTBOUND_CRUISE_50M,1
18.979,OUTBOUND_CRUISE_50M,1
19.029000000000003,OUTBOUND_CRUISE_50M,1
19.079,OUTBOUND_CRUISE_50M,1
19.129000000000005,OUTBOUND_CRUISE_50M,1
19.179000000000002,OUTBOUND_CRUISE_50M,1
19.229,OUTBOUND_CRUISE_50M,1
19.279000000000003,OUTBOUND_CRUISE_50M,1
19.329,OUTBOUND_CRUISE_50M,1
19.379000000000005,OUTBOUND_CRUISE_50M,1
19.429000000000002,OUTBOUND_CRUISE_50M,1
19.479,OUTBOUND_CRUISE_50M,1
19.529000000000003,OUTBOUND_CRUISE_50M,1
19.579,OUTBOUND_CRUISE_50M,1
19.629000000000005,OUTBOUND_CRUISE_50M,1
19.679000000000002,OUTBOUND_CRUISE_50M,1
19.729,OUTBOUND_CRUISE_50M,1
19.779000000000003,OUTBOUND_CRUISE_50M,1
19.829,OUTBOUND_CRUISE_50M,1
19.879000000000005,OUTBOUND_CRUISE_50M,1
19.929000000000002,OUTBOUND_CRUISE_50M,1
19.979,OUTBOUND_CRUISE_50M,1
20.029000000000003,OUTBOUND_CRUISE_50M,1
20.079,OUTBOUND_CRUISE_50M,1
20.129000000000005,OUTBOUND_CRUISE_50M,1
20.179000000000002,OUTBOUND_CRUISE_50M,1
20.229,OUTBOUND_CRUISE_50M,1
20.279000000000003,OUTBOUND_CRUISE_50M,1
20.329,OUTBOUND_CRUISE_50M,1
20.379000000000005,OUTBOUND_CRUISE_50M,1
20.429000000000002,OUTBOUND_CRUISE_50M,1
20.479,OUTBOUND_CRUISE_50M,1
20.529000000000003,OUTBOUND_CRUISE_50M,1
20.579,OUTBOUND_CRUISE_50M,1
20.629000000000005,OUTBOUND_CRUISE_50M,1
20.679000000000002,OUTBOUND_CRUISE_50M,1
20.729,OUTBOUND_CRUISE_50M,1
20.779000000000003,OUTBOUND_CRUISE_50M,1
20.829,OUTBOUND_CRUISE_50M,1
20.879000000000005,OUTBOUND_CRUISE_50M,1
20.929000000000002,OUTBOUND_CRUISE_50M,1
20.979,OUTBOUND_CRUISE_50M,1
21.029000000000003,OUTBOUND_CRUISE_50M,1
21.079,OUTBOUND_CRUISE_50M,1
21.129000000000005,OUTBOUND_CRUISE_50M,1
21.179000000000002,OUTBOUND_CRUISE_50M,1
21.229,OUTBOUND_CRUISE_50M,1
21.279000000000003,OUTBOUND_CRUISE_50M,1
21.329,OUTBOUND_CRUISE_50M,1
21.379000000000005,OUTBOUND_CRUISE_50M,1
21.429000000000002,OUTBOUND_CRUISE_50M,1
21.479,OUTBOUND_CRUISE_50M,1
21.529000000000003,OUTBOUND_CRUISE_50M,1
21.579,OUTBOUND_CRUISE_50M,1
21.629000000000005,OUTBOUND_CRUISE_50M,1
21.679000000000002,OUTBOUND_CRUISE_50M,1
21.729,OUTBOUND_CRUISE_50M,1
21.779000000000003,OUTBOUND_CRUISE_50M,1
21.829,OUTBOUND_CRUISE_50M,1
21.879000000000005,OUTBOUND_CRUISE_50M,1
21.929000000000002,OUTBOUND_CRUISE_50M,1
21.979,OUTBOUND_CRUISE_50M,1
22.029000000000003,OUTBOUND_CRUISE_50M,1
22.079,OUTBOUND_CRUISE_50M,1
22.129000000000005,OUTBOUND_CRUISE_50M,1
22.179000000000002,OUTBOUND_CRUISE_50M,1
22.229,OUTBOUND_CRUISE_50M,1
22.279000000000003,OUTBOUND_CRUISE_50M,1
22.329,OUTBOUND_CRUISE_50M,1
22.379000000000005,OUTBOUND_CRUISE_50M,1
22.429000000000002,OUTBOUND_CRUISE_50M,1
22.479,OUTBOUND_CRUISE_50M,1
22.529000000000003,OUTBOUND_CRUISE_50M,1
22.579,OUTBOUND_CRUISE_50M,1
22.629000000000005,OUTBOUND_CRUISE_50M,1
22.679000000000002,OUTBOUND_CRUISE_50M,1
22.729,OUTBOUND_CRUISE_50M,1
22.779000000000003,OUTBOUND_CRUISE_50M,1
22.829,OUTBOUND_CRUISE_50M,1
22.879000000000005,OUTBOUND_CRUISE_50M,1
22.929000000000002,OUTBOUND_CRUISE_50M,1
22.979,OUTBOUND_CRUISE_50M,1
23.029000000000003,OUTBOUND_CRUISE_50M,1
23.079,OUTBOUND_CRUISE_50M,1
23.129000000000005,OUTBOUND_CRUISE_50M,1
23.179000000000002,OUTBOUND_CRUISE_50M,1
23.229,OUTBOUND_CRUISE_50M,1
23.279000000000003,OUTBOUND_CRUISE_50M,1
23.329,OUTBOUND_CRUISE_50M,1
23.379000000000005,OUTBOUND_CRUISE_50M,1
23.429000000000002,OUTBOUND_CRUISE_50M,1
23.479,OUTBOUND_CRUISE_50M,1
23.529000000000003,OUTBOUND_CRUISE_50M,1
23.579,OUTBOUND_CRUISE_50M,1
23.629000000000005,OUTBOUND_CRUISE_50M,1
23.679000000000002,OUTBOUND_CRUISE_50M,1
23.729,OUTBOUND_CRUISE_50M,1
23.779000000000003,OUTBOUND_CRUISE_50M,1
23.829,OUTBOUND_CRUISE_50M,1
23.879000000000005,OUTBOUND_CRUISE_50M,1
23.929000000000002,OUTBOUND_CRUISE_50M,1
23.981,OUTBOUND_CRUISE_50M,1
24.029000000000003,OUTBOUND_CRUISE_50M,1
24.079,OUTBOUND_CRUISE_50M,1
24.129000000000005,OUTBOUND_CRUISE_50M,1
24.179000000000002,OUTBOUND_CRUISE_50M,1
24.229,OUTBOUND_CRUISE_50M,1
24.279000000000003,OUTBOUND_CRUISE_50M,1
24.329,OUTBOUND_CRUISE_50M,1
24.379000000000005,OUTBOUND_CRUISE_50M,1
24.429000000000002,OUTBOUND_CRUISE_50M,1
24.479,OUTBOUND_CRUISE_50M,1
24.529000000000003,OUTBOUND_CRUISE_50M,1
24.579,OUTBOUND_CRUISE_50M,1
24.629000000000005,OUTBOUND_CRUISE_50M,1
24.679000000000002,OUTBOUND_CRUISE_50M,1
24.729,OUTBOUND_CRUISE_50M,1
24.779000000000003,OUTBOUND_CRUISE_50M,1
24.829,OUTBOUND_CRUISE_50M,1
24.879000000000005,OUTBOUND_CRUISE_50M,1
24.929000000000002,OUTBOUND_CRUISE_50M,1
24.979,OUTBOUND_CRUISE_50M,1
25.029000000000003,OUTBOUND_CRUISE_50M,1
25.079,OUTBOUND_CRUISE_50M,1
25.129000000000005,OUTBOUND_CRUISE_50M,1
25.179000000000002,OUTBOUND_CRUISE_50M,1
25.229,OUTBOUND_CRUISE_50M,1
25.279000000000003,OUTBOUND_CRUISE_50M,1
25.329,OUTBOUND_CRUISE_50M,1
25.379000000000005,OUTBOUND_CRUISE_50M,1
25.429000000000002,OUTBOUND_CRUISE_50M,1
25.479,OUTBOUND_CRUISE_50M,1
25.529000000000003,OUTBOUND_CRUISE_50M,1
25.579,OUTBOUND_CRUISE_50M,1
25.629000000000005,OUTBOUND_CRUISE_50M,1
